T51.0X1A@Toxic effect of ethanol, accidental (unintentional), init
T56.7X1S@Toxic effect of beryllium and its compounds, acc, sequela
T56.7X2A@Toxic effect of beryllium and its compounds, self-harm, init
T56.7X2D@Toxic effect of beryllium and its compounds, self-harm, subs
T56.7X2S@Toxic effect of beryllium and its compnd, self-harm, sequela
T56.7X3A@Toxic effect of beryllium and its compounds, assault, init
T56.7X3D@Toxic effect of beryllium and its compounds, assault, subs
T56.7X3S@Toxic effect of beryllium and its compnd, assault, sequela
T56.7X4A@Toxic effect of beryllium and its compounds, undet, init
T56.7X4D@Toxic effect of beryllium and its compounds, undet, subs
T56.7X4S@Toxic effect of beryllium and its compounds, undet, sequela
T56.811A@Toxic effect of thallium, accidental (unintentional), init
T56.811D@Toxic effect of thallium, accidental (unintentional), subs
T56.811S@Toxic effect of thallium, accidental, sequela
T56.812A@Toxic effect of thallium, intentional self-harm, init encntr
T56.812D@Toxic effect of thallium, intentional self-harm, subs encntr
T56.812S@Toxic effect of thallium, intentional self-harm, sequela
T56.813A@Toxic effect of thallium, assault, initial encounter
T56.813D@Toxic effect of thallium, assault, subsequent encounter
T56.813S@Toxic effect of thallium, assault, sequela
T56.814A@Toxic effect of thallium, undetermined, initial encounter
T56.814D@Toxic effect of thallium, undetermined, subsequent encounter
T56.814S@Toxic effect of thallium, undetermined, sequela
T56.891A@Toxic effect of oth metals, accidental (unintentional), init
T56.891D@Toxic effect of oth metals, accidental (unintentional), subs
T56.891S@Toxic effect of metals, accidental (unintentional), sequela
T56.892A@Toxic effect of oth metals, intentional self-harm, init
T56.892D@Toxic effect of oth metals, intentional self-harm, subs
T56.892S@Toxic effect of other metals, intentional self-harm, sequela
T56.893A@Toxic effect of other metals, assault, initial encounter
T56.893D@Toxic effect of other metals, assault, subsequent encounter
T56.893S@Toxic effect of other metals, assault, sequela
T56.894A@Toxic effect of other metals, undetermined, init encntr
T56.894D@Toxic effect of other metals, undetermined, subs encntr
T56.894S@Toxic effect of other metals, undetermined, sequela
T56.91XA@Toxic effect of unsp metal, accidental (unintentional), init
T56.91XD@Toxic effect of unsp metal, accidental (unintentional), subs
T56.91XS@Toxic effect of unsp metal, accidental, sequela
T56.92XA@Toxic effect of unsp metal, intentional self-harm, init
T56.92XD@Toxic effect of unsp metal, intentional self-harm, subs
T56.92XS@Toxic effect of unsp metal, intentional self-harm, sequela
T56.93XA@Toxic effect of unspecified metal, assault, init encntr
T56.93XD@Toxic effect of unspecified metal, assault, subs encntr
T56.93XS@Toxic effect of unspecified metal, assault, sequela
T56.94XA@Toxic effect of unspecified metal, undetermined, init encntr
T56.94XD@Toxic effect of unspecified metal, undetermined, subs encntr
T56.94XS@Toxic effect of unspecified metal, undetermined, sequela
T57.0X1A@Toxic effect of arsenic and its compounds, accidental, init
T57.0X1D@Toxic effect of arsenic and its compounds, accidental, subs
T57.0X1S@Toxic effect of arsenic and its compounds, acc, sequela
T57.0X2A@Toxic effect of arsenic and its compounds, self-harm, init
T57.0X2D@Toxic effect of arsenic and its compounds, self-harm, subs
T57.0X2S@Toxic effect of arsenic and its compnd, self-harm, sequela
T57.0X3A@Toxic effect of arsenic and its compounds, assault, init
T57.0X3D@Toxic effect of arsenic and its compounds, assault, subs
T57.0X3S@Toxic effect of arsenic and its compounds, assault, sequela
T57.0X4A@Toxic effect of arsenic and its compounds, undet, init
T57.0X4D@Toxic effect of arsenic and its compounds, undet, subs
T57.0X4S@Toxic effect of arsenic and its compounds, undet, sequela
T57.1X1A@Toxic effect of phosphorus and its compounds, acc, init
T57.1X1D@Toxic effect of phosphorus and its compounds, acc, subs
T57.1X1S@Toxic effect of phosphorus and its compounds, acc, sequela
T57.1X2A@Toxic effect of phosphorus and its compnd, self-harm, init
T57.1X2D@Toxic effect of phosphorus and its compnd, self-harm, subs
T57.1X2S@Toxic effect of phosphorus and its compnd, slf-hrm, sequela
T57.1X3A@Toxic effect of phosphorus and its compounds, assault, init
T57.1X3D@Toxic effect of phosphorus and its compounds, assault, subs
T57.1X3S@Toxic effect of phosphorus and its compnd, assault, sequela
T57.1X4A@Toxic effect of phosphorus and its compounds, undet, init
T57.1X4D@Toxic effect of phosphorus and its compounds, undet, subs
T57.1X4S@Toxic effect of phosphorus and its compounds, undet, sequela
T57.2X1A@Toxic effect of manganese and its compounds, acc, init
T57.2X1D@Toxic effect of manganese and its compounds, acc, subs
T57.2X1S@Toxic effect of manganese and its compounds, acc, sequela
T57.2X2A@Toxic effect of manganese and its compounds, self-harm, init
T57.2X2D@Toxic effect of manganese and its compounds, self-harm, subs
T57.2X2S@Toxic effect of manganese and its compnd, self-harm, sequela
T57.2X3A@Toxic effect of manganese and its compounds, assault, init
T57.2X3D@Toxic effect of manganese and its compounds, assault, subs
T57.2X3S@Toxic effect of manganese and its compnd, assault, sequela
T57.2X4A@Toxic effect of manganese and its compounds, undet, init
T57.2X4D@Toxic effect of manganese and its compounds, undet, subs
T57.2X4S@Toxic effect of manganese and its compounds, undet, sequela
T57.3X1A@Toxic effect of hydrogen cyanide, accidental, init
T57.3X1D@Toxic effect of hydrogen cyanide, accidental, subs
T57.3X1S@Toxic effect of hydrogen cyanide, accidental, sequela
T57.3X2A@Toxic effect of hydrogen cyanide, self-harm, init
T57.3X2D@Toxic effect of hydrogen cyanide, self-harm, subs
T57.3X2S@Toxic effect of hydrogen cyanide, self-harm, sequela
T57.3X3A@Toxic effect of hydrogen cyanide, assault, initial encounter
T57.3X3D@Toxic effect of hydrogen cyanide, assault, subs encntr
T57.3X3S@Toxic effect of hydrogen cyanide, assault, sequela
T57.3X4A@Toxic effect of hydrogen cyanide, undetermined, init encntr
T57.3X4D@Toxic effect of hydrogen cyanide, undetermined, subs encntr
T57.3X4S@Toxic effect of hydrogen cyanide, undetermined, sequela
T57.8X1A@Toxic effect of inorganic substances, accidental, init
T57.8X1D@Toxic effect of inorganic substances, accidental, subs
T57.8X1S@Toxic effect of inorganic substances, accidental, sequela
T57.8X2A@Toxic effect of inorganic substances, self-harm, init
T57.8X2D@Toxic effect of inorganic substances, self-harm, subs
T57.8X2S@Toxic effect of inorganic substances, self-harm, sequela
T57.8X3A@Toxic effect of oth inorganic substances, assault, init
T57.8X3D@Toxic effect of oth inorganic substances, assault, subs
T57.8X3S@Toxic effect of oth inorganic substances, assault, sequela
T57.8X4A@Toxic effect of oth inorganic substances, undetermined, init
T57.8X4D@Toxic effect of oth inorganic substances, undetermined, subs
T57.8X4S@Toxic effect of inorganic substances, undetermined, sequela
T57.91XA@Toxic effect of unsp inorganic substance, accidental, init
T57.91XD@Toxic effect of unsp inorganic substance, accidental, subs
T57.91XS@Toxic effect of unsp inorganic substance, acc, sequela
T57.92XA@Toxic effect of unsp inorganic substance, self-harm, init
T57.92XD@Toxic effect of unsp inorganic substance, self-harm, subs
T57.92XS@Toxic effect of unsp inorganic substance, self-harm, sequela
T57.93XA@Toxic effect of unsp inorganic substance, assault, init
T57.93XD@Toxic effect of unsp inorganic substance, assault, subs
T57.93XS@Toxic effect of unsp inorganic substance, assault, sequela
T57.94XA@Toxic effect of unsp inorganic substance, undetermined, init
T57.94XD@Toxic effect of unsp inorganic substance, undetermined, subs
T57.94XS@Toxic effect of unsp inorganic substance, undet, sequela
T58.01XA@Toxic effect of carb monx from mtr veh exhaust, acc, init
T58.01XD@Toxic effect of carb monx from mtr veh exhaust, acc, subs
T58.01XS@Toxic effect of carb monx from mtr veh exhaust, acc, sqla
T58.02XA@Toxic eff of carb monx from mtr veh exhaust, slf-hrm, init
T58.02XD@Toxic eff of carb monx from mtr veh exhaust, slf-hrm, subs
T58.02XS@Toxic eff of carb monx from mtr veh exhaust, slf-hrm, sqla
T58.03XA@Toxic effect of carb monx from mtr veh exhaust, asslt, init
T58.03XD@Toxic effect of carb monx from mtr veh exhaust, asslt, subs
T58.03XS@Toxic effect of carb monx from mtr veh exhaust, asslt, sqla
T58.04XA@Toxic effect of carb monx from mtr veh exhaust, undet, init
T58.04XD@Toxic effect of carb monx from mtr veh exhaust, undet, subs
T58.04XS@Toxic effect of carb monx from mtr veh exhaust, undet, sqla
T58.11XA@Toxic effect of carb monx from utility gas, acc, init
T58.11XD@Toxic effect of carb monx from utility gas, acc, subs
T58.11XS@Toxic effect of carb monx from utility gas, acc, sequela
T58.12XA@Toxic effect of carb monx from utility gas, self-harm, init
T58.12XD@Toxic effect of carb monx from utility gas, self-harm, subs
T58.12XS@Toxic effect of carb monx from utility gas, slf-hrm, sequela
T58.13XA@Toxic effect of carb monx from utility gas, assault, init
T58.13XD@Toxic effect of carb monx from utility gas, assault, subs
T58.13XS@Toxic effect of carb monx from utility gas, assault, sequela
T58.14XA@Toxic effect of carb monx from utility gas, undet, init
T58.14XD@Toxic effect of carb monx from utility gas, undet, subs
T58.14XS@Toxic effect of carb monx from utility gas, undet, sequela
T58.2X1A@Tox eff of carb monx fr incmpl combst dmst fuel, acc, init
T58.2X1D@Tox eff of carb monx fr incmpl combst dmst fuel, acc, subs
T58.2X1S@Tox eff of carb monx fr incmpl combst dmst fuel, acc, sqla
T58.2X2A@Tox eff of carb monx fr incmpl combst dmst fuel,slf-hrm,init
T58.2X2D@Tox eff of carb monx fr incmpl combst dmst fuel,slf-hrm,subs
T58.2X2S@Tox eff of carb monx fr incmpl combst dmst fuel,slf-hrm,sqla
T58.2X3A@Tox eff of carb monx fr incmpl combst dmst fuel, asslt, init
T58.2X3D@Tox eff of carb monx fr incmpl combst dmst fuel, asslt, subs
T58.2X3S@Tox eff of carb monx fr incmpl combst dmst fuel, asslt, sqla
T58.2X4A@Tox eff of carb monx fr incmpl combst dmst fuel, undet, init
T58.2X4D@Tox eff of carb monx fr incmpl combst dmst fuel, undet, subs
T58.2X4S@Tox eff of carb monx fr incmpl combst dmst fuel, undet, sqla
T58.8X1A@Toxic effect of carb monx from oth source, accidental, init
T58.8X1D@Toxic effect of carb monx from oth source, accidental, subs
T58.8X1S@Toxic effect of carb monx from oth source, acc, sequela
T58.8X2A@Toxic effect of carb monx from oth source, self-harm, init
T58.8X2D@Toxic effect of carb monx from oth source, self-harm, subs
T58.8X2S@Toxic effect of carb monx from oth source, slf-hrm, sequela
T58.8X3A@Toxic effect of carb monx from oth source, assault, init
T58.8X3D@Toxic effect of carb monx from oth source, assault, subs
T58.8X3S@Toxic effect of carb monx from oth source, assault, sequela
T58.8X4A@Toxic effect of carb monx from oth source, undet, init
T58.8X4D@Toxic effect of carb monx from oth source, undet, subs
T58.8X4S@Toxic effect of carb monx from oth source, undet, sequela
T58.91XA@Toxic effect of carb monx from unsp source, acc, init
T58.91XD@Toxic effect of carb monx from unsp source, acc, subs
T58.91XS@Toxic effect of carb monx from unsp source, acc, sequela
T58.92XA@Toxic effect of carb monx from unsp source, self-harm, init
T58.92XD@Toxic effect of carb monx from unsp source, self-harm, subs
T58.92XS@Toxic effect of carb monx from unsp source, slf-hrm, sequela
T58.93XA@Toxic effect of carb monx from unsp source, assault, init
T58.93XD@Toxic effect of carb monx from unsp source, assault, subs
T58.93XS@Toxic effect of carb monx from unsp source, assault, sequela
T58.94XA@Toxic effect of carb monx from unsp source, undet, init
T58.94XD@Toxic effect of carb monx from unsp source, undet, subs
T58.94XS@Toxic effect of carb monx from unsp source, undet, sequela
T59.0X1A@Toxic effect of nitrogen oxides, accidental, init
T59.0X1D@Toxic effect of nitrogen oxides, accidental, subs
T59.0X1S@Toxic effect of nitrogen oxides, accidental, sequela
T59.0X2A@Toxic effect of nitrogen oxides, intentional self-harm, init
T59.0X2D@Toxic effect of nitrogen oxides, intentional self-harm, subs
T59.0X2S@Toxic effect of nitrogen oxides, self-harm, sequela
T59.0X3A@Toxic effect of nitrogen oxides, assault, initial encounter
T59.0X3D@Toxic effect of nitrogen oxides, assault, subs encntr
T59.0X3S@Toxic effect of nitrogen oxides, assault, sequela
T59.0X4A@Toxic effect of nitrogen oxides, undetermined, init encntr
T59.0X4D@Toxic effect of nitrogen oxides, undetermined, subs encntr
T59.0X4S@Toxic effect of nitrogen oxides, undetermined, sequela
T59.1X1A@Toxic effect of sulfur dioxide, accidental, init
T59.1X1D@Toxic effect of sulfur dioxide, accidental, subs
T59.1X1S@Toxic effect of sulfur dioxide, accidental, sequela
T59.1X2A@Toxic effect of sulfur dioxide, intentional self-harm, init
T59.1X2D@Toxic effect of sulfur dioxide, intentional self-harm, subs
T59.1X2S@Toxic effect of sulfur dioxide, self-harm, sequela
T59.1X3A@Toxic effect of sulfur dioxide, assault, initial encounter
T59.1X3D@Toxic effect of sulfur dioxide, assault, subs encntr
T59.1X3S@Toxic effect of sulfur dioxide, assault, sequela
T59.1X4A@Toxic effect of sulfur dioxide, undetermined, init encntr
T59.1X4D@Toxic effect of sulfur dioxide, undetermined, subs encntr
T59.1X4S@Toxic effect of sulfur dioxide, undetermined, sequela
T59.2X1A@Toxic effect of formaldehyde, accidental, init
T59.2X1D@Toxic effect of formaldehyde, accidental, subs
T59.2X1S@Toxic effect of formaldehyde, accidental, sequela
T59.2X2A@Toxic effect of formaldehyde, intentional self-harm, init
T59.2X2D@Toxic effect of formaldehyde, intentional self-harm, subs
T59.2X2S@Toxic effect of formaldehyde, intentional self-harm, sequela
T59.2X3A@Toxic effect of formaldehyde, assault, initial encounter
T59.2X3D@Toxic effect of formaldehyde, assault, subsequent encounter
T59.2X3S@Toxic effect of formaldehyde, assault, sequela
T59.2X4A@Toxic effect of formaldehyde, undetermined, init encntr
T59.2X4D@Toxic effect of formaldehyde, undetermined, subs encntr
T59.2X4S@Toxic effect of formaldehyde, undetermined, sequela
T59.3X1A@Toxic effect of lacrimogenic gas, accidental, init
T59.3X1D@Toxic effect of lacrimogenic gas, accidental, subs
T59.3X1S@Toxic effect of lacrimogenic gas, accidental, sequela
T59.3X2A@Toxic effect of lacrimogenic gas, self-harm, init
T59.3X2D@Toxic effect of lacrimogenic gas, self-harm, subs
T59.3X2S@Toxic effect of lacrimogenic gas, self-harm, sequela
T59.3X3A@Toxic effect of lacrimogenic gas, assault, initial encounter
T59.3X3D@Toxic effect of lacrimogenic gas, assault, subs encntr
T59.3X3S@Toxic effect of lacrimogenic gas, assault, sequela
T59.3X4A@Toxic effect of lacrimogenic gas, undetermined, init encntr
T59.3X4D@Toxic effect of lacrimogenic gas, undetermined, subs encntr
T59.3X4S@Toxic effect of lacrimogenic gas, undetermined, sequela
T59.4X1A@Toxic effect of chlorine gas, accidental, init
T59.4X1D@Toxic effect of chlorine gas, accidental, subs
T59.4X1S@Toxic effect of chlorine gas, accidental, sequela
T59.4X2A@Toxic effect of chlorine gas, intentional self-harm, init
T59.4X2D@Toxic effect of chlorine gas, intentional self-harm, subs
T59.4X2S@Toxic effect of chlorine gas, intentional self-harm, sequela
T59.4X3A@Toxic effect of chlorine gas, assault, initial encounter
T59.4X3D@Toxic effect of chlorine gas, assault, subsequent encounter
T59.4X3S@Toxic effect of chlorine gas, assault, sequela
T59.4X4A@Toxic effect of chlorine gas, undetermined, init encntr
T59.4X4D@Toxic effect of chlorine gas, undetermined, subs encntr
T59.4X4S@Toxic effect of chlorine gas, undetermined, sequela
T59.5X1A@Toxic eff of fluorine gas and hydrogen fluoride, acc, init
T59.5X1D@Toxic eff of fluorine gas and hydrogen fluoride, acc, subs
T59.5X1S@Toxic eff of fluorine gas and hydrogen fluoride, acc, sqla
T59.5X2A@Tox eff of fluorine gas and hydrogen fluoride, slf-hrm, init
T59.5X2D@Tox eff of fluorine gas and hydrogen fluoride, slf-hrm, subs
T59.5X2S@Tox eff of fluorine gas and hydrogen fluoride, slf-hrm, sqla
T59.5X3A@Toxic eff of fluorine gas and hydrogen fluoride, asslt, init
T59.5X3D@Toxic eff of fluorine gas and hydrogen fluoride, asslt, subs
T59.5X3S@Toxic eff of fluorine gas and hydrogen fluoride, asslt, sqla
T59.5X4A@Toxic eff of fluorine gas and hydrogen fluoride, undet, init
T59.5X4D@Toxic eff of fluorine gas and hydrogen fluoride, undet, subs
T59.5X4S@Toxic eff of fluorine gas and hydrogen fluoride, undet, sqla
T59.6X1A@Toxic effect of hydrogen sulfide, accidental, init
T59.6X1D@Toxic effect of hydrogen sulfide, accidental, subs
T59.6X1S@Toxic effect of hydrogen sulfide, accidental, sequela
T59.6X2A@Toxic effect of hydrogen sulfide, self-harm, init
T59.6X2D@Toxic effect of hydrogen sulfide, self-harm, subs
T59.6X2S@Toxic effect of hydrogen sulfide, self-harm, sequela
T59.6X3A@Toxic effect of hydrogen sulfide, assault, initial encounter
T59.6X3D@Toxic effect of hydrogen sulfide, assault, subs encntr
T59.6X3S@Toxic effect of hydrogen sulfide, assault, sequela
T59.6X4A@Toxic effect of hydrogen sulfide, undetermined, init encntr
T59.6X4D@Toxic effect of hydrogen sulfide, undetermined, subs encntr
T59.6X4S@Toxic effect of hydrogen sulfide, undetermined, sequela
T59.7X1A@Toxic effect of carbon dioxide, accidental, init
T59.7X1D@Toxic effect of carbon dioxide, accidental, subs
T59.7X1S@Toxic effect of carbon dioxide, accidental, sequela
T59.7X2A@Toxic effect of carbon dioxide, intentional self-harm, init
T59.7X2D@Toxic effect of carbon dioxide, intentional self-harm, subs
T59.7X2S@Toxic effect of carbon dioxide, self-harm, sequela
T59.7X3A@Toxic effect of carbon dioxide, assault, initial encounter
T59.7X3D@Toxic effect of carbon dioxide, assault, subs encntr
T59.7X3S@Toxic effect of carbon dioxide, assault, sequela
T59.7X4A@Toxic effect of carbon dioxide, undetermined, init encntr
T59.7X4D@Toxic effect of carbon dioxide, undetermined, subs encntr
T59.7X4S@Toxic effect of carbon dioxide, undetermined, sequela
T59.811A@Toxic effect of smoke, accidental (unintentional), init
T59.811D@Toxic effect of smoke, accidental (unintentional), subs
T59.811S@Toxic effect of smoke, accidental (unintentional), sequela
T59.812A@Toxic effect of smoke, intentional self-harm, init encntr
T59.812D@Toxic effect of smoke, intentional self-harm, subs encntr
T59.812S@Toxic effect of smoke, intentional self-harm, sequela
T59.813A@Toxic effect of smoke, assault, initial encounter
T59.813D@Toxic effect of smoke, assault, subsequent encounter
T59.813S@Toxic effect of smoke, assault, sequela
T59.814A@Toxic effect of smoke, undetermined, initial encounter
T59.814D@Toxic effect of smoke, undetermined, subsequent encounter
T59.814S@Toxic effect of smoke, undetermined, sequela
T59.891A@Toxic effect of gases, fumes and vapors, accidental, init
T59.891D@Toxic effect of gases, fumes and vapors, accidental, subs
T59.891S@Toxic effect of gases, fumes and vapors, acc, sequela
T59.892A@Toxic effect of gases, fumes and vapors, self-harm, init
T59.892D@Toxic effect of gases, fumes and vapors, self-harm, subs
T59.892S@Toxic effect of gases, fumes and vapors, self-harm, sequela
T59.893A@Toxic effect of oth gases, fumes and vapors, assault, init
T59.893D@Toxic effect of oth gases, fumes and vapors, assault, subs
T59.893S@Toxic effect of gases, fumes and vapors, assault, sequela
T59.894A@Toxic effect of gases, fumes and vapors, undetermined, init
T59.894D@Toxic effect of gases, fumes and vapors, undetermined, subs
T59.894S@Toxic effect of gases, fumes and vapors, undet, sequela
T59.91XA@Toxic effect of unsp gases, fumes and vapors, acc, init
T59.91XD@Toxic effect of unsp gases, fumes and vapors, acc, subs
T59.91XS@Toxic effect of unsp gases, fumes and vapors, acc, sequela
T59.92XA@Toxic effect of unsp gases, fumes and vapors, slf-hrm, init
T59.92XD@Toxic effect of unsp gases, fumes and vapors, slf-hrm, subs
T59.92XS@Toxic effect of unsp gases, fumes and vapors, slf-hrm, sqla
T59.93XA@Toxic effect of unsp gases, fumes and vapors, assault, init
T59.93XD@Toxic effect of unsp gases, fumes and vapors, assault, subs
T59.93XS@Toxic effect of unsp gases, fumes and vapors, asslt, sequela
T59.94XA@Toxic effect of unsp gases, fumes and vapors, undet, init
T59.94XD@Toxic effect of unsp gases, fumes and vapors, undet, subs
T59.94XS@Toxic effect of unsp gases, fumes and vapors, undet, sequela
T60.0X1A@Toxic effect of organophos and carbamate insect, acc, init
T60.0X1D@Toxic effect of organophos and carbamate insect, acc, subs
T60.0X1S@Toxic effect of organophos and carbamate insect, acc, sqla
T60.0X2A@Toxic eff of organophos and carbamate insect, slf-hrm, init
T60.0X2D@Toxic eff of organophos and carbamate insect, slf-hrm, subs
T60.0X2S@Toxic eff of organophos and carbamate insect, slf-hrm, sqla
T60.0X3A@Toxic effect of organophos and carbamate insect, asslt, init
T60.0X3D@Toxic effect of organophos and carbamate insect, asslt, subs
T60.0X3S@Toxic effect of organophos and carbamate insect, asslt, sqla
T60.0X4A@Toxic effect of organophos and carbamate insect, undet, init
T60.0X4D@Toxic effect of organophos and carbamate insect, undet, subs
T60.0X4S@Toxic effect of organophos and carbamate insect, undet, sqla
T60.1X1A@Toxic effect of halogenated insecticides, accidental, init
T60.1X1D@Toxic effect of halogenated insecticides, accidental, subs
T60.1X1S@Toxic effect of halogenated insect, accidental, sequela
T60.1X2A@Toxic effect of halogenated insecticides, self-harm, init
T60.1X2D@Toxic effect of halogenated insecticides, self-harm, subs
T60.1X2S@Toxic effect of halogenated insecticides, self-harm, sequela
T60.1X3A@Toxic effect of halogenated insecticides, assault, init
T60.1X3D@Toxic effect of halogenated insecticides, assault, subs
T60.1X3S@Toxic effect of halogenated insecticides, assault, sequela
T60.1X4A@Toxic effect of halogenated insecticides, undetermined, init
T60.1X4D@Toxic effect of halogenated insecticides, undetermined, subs
T60.1X4S@Toxic effect of halogenated insect, undetermined, sequela
T60.2X1A@Toxic effect of insecticides, accidental, init
T60.2X1D@Toxic effect of insecticides, accidental, subs
T60.2X1S@Toxic effect of insecticides, accidental, sequela
T60.2X2A@Toxic effect of insecticides, intentional self-harm, init
T60.2X2D@Toxic effect of insecticides, intentional self-harm, subs
T60.2X2S@Toxic effect of insecticides, intentional self-harm, sequela
T60.2X3A@Toxic effect of other insecticides, assault, init encntr
T60.2X3D@Toxic effect of other insecticides, assault, subs encntr
T60.2X3S@Toxic effect of other insecticides, assault, sequela
T60.2X4A@Toxic effect of oth insecticides, undetermined, init encntr
T60.2X4D@Toxic effect of oth insecticides, undetermined, subs encntr
T60.2X4S@Toxic effect of other insecticides, undetermined, sequela
T60.3X1A@Toxic effect of herbicides and fungicides, accidental, init
T60.3X1D@Toxic effect of herbicides and fungicides, accidental, subs
T60.3X1S@Toxic effect of herbicides and fungicides, acc, sequela
T60.3X2A@Toxic effect of herbicides and fungicides, self-harm, init
T60.3X2D@Toxic effect of herbicides and fungicides, self-harm, subs
T60.3X2S@Toxic effect of herbicides and fungicides, slf-hrm, sequela
T60.3X3A@Toxic effect of herbicides and fungicides, assault, init
T60.3X3D@Toxic effect of herbicides and fungicides, assault, subs
T60.3X3S@Toxic effect of herbicides and fungicides, assault, sequela
T60.3X4A@Toxic effect of herbicides and fungicides, undet, init
T60.3X4D@Toxic effect of herbicides and fungicides, undet, subs
T60.3X4S@Toxic effect of herbicides and fungicides, undet, sequela
T60.4X1A@Toxic effect of rodenticides, accidental, init
T60.4X1D@Toxic effect of rodenticides, accidental, subs
T60.4X1S@Toxic effect of rodenticides, accidental, sequela
T60.4X2A@Toxic effect of rodenticides, intentional self-harm, init
T60.4X2D@Toxic effect of rodenticides, intentional self-harm, subs
T60.4X2S@Toxic effect of rodenticides, intentional self-harm, sequela
T60.4X3A@Toxic effect of rodenticides, assault, initial encounter
T60.4X3D@Toxic effect of rodenticides, assault, subsequent encounter
T60.4X3S@Toxic effect of rodenticides, assault, sequela
T60.4X4A@Toxic effect of rodenticides, undetermined, init encntr
T60.4X4D@Toxic effect of rodenticides, undetermined, subs encntr
T60.4X4S@Toxic effect of rodenticides, undetermined, sequela
T60.8X1A@Toxic effect of pesticides, accidental (unintentional), init
T60.8X1D@Toxic effect of pesticides, accidental (unintentional), subs
T60.8X1S@Toxic effect of pesticides, accidental, sequela
T60.8X2A@Toxic effect of oth pesticides, intentional self-harm, init
T60.8X2D@Toxic effect of oth pesticides, intentional self-harm, subs
T60.8X2S@Toxic effect of pesticides, intentional self-harm, sequela
T60.8X3A@Toxic effect of other pesticides, assault, initial encounter
T60.8X3D@Toxic effect of other pesticides, assault, subs encntr
T60.8X3S@Toxic effect of other pesticides, assault, sequela
T60.8X4A@Toxic effect of other pesticides, undetermined, init encntr
T60.8X4D@Toxic effect of other pesticides, undetermined, subs encntr
T60.8X4S@Toxic effect of other pesticides, undetermined, sequela
T60.91XA@Toxic effect of unsp pesticide, accidental, init
T60.91XD@Toxic effect of unsp pesticide, accidental, subs
T60.91XS@Toxic effect of unsp pesticide, accidental, sequela
T60.92XA@Toxic effect of unsp pesticide, intentional self-harm, init
T60.92XD@Toxic effect of unsp pesticide, intentional self-harm, subs
T60.92XS@Toxic effect of unsp pesticide, self-harm, sequela
T60.93XA@Toxic effect of unspecified pesticide, assault, init encntr
T60.93XD@Toxic effect of unspecified pesticide, assault, subs encntr
T60.93XS@Toxic effect of unspecified pesticide, assault, sequela
T60.94XA@Toxic effect of unsp pesticide, undetermined, init encntr
T60.94XD@Toxic effect of unsp pesticide, undetermined, subs encntr
T60.94XS@Toxic effect of unspecified pesticide, undetermined, sequela
T61.01XA@Ciguatera fish poisoning, accidental (unintentional), init
T61.01XD@Ciguatera fish poisoning, accidental (unintentional), subs
T61.01XS@Ciguatera fish poisoning, accidental, sequela
T61.02XA@Ciguatera fish poisoning, intentional self-harm, init encntr
T61.02XD@Ciguatera fish poisoning, intentional self-harm, subs encntr
T61.02XS@Ciguatera fish poisoning, intentional self-harm, sequela
T61.03XA@Ciguatera fish poisoning, assault, initial encounter
T61.03XD@Ciguatera fish poisoning, assault, subsequent encounter
T61.03XS@Ciguatera fish poisoning, assault, sequela
T61.04XA@Ciguatera fish poisoning, undetermined, initial encounter
T61.04XD@Ciguatera fish poisoning, undetermined, subsequent encounter
T61.04XS@Ciguatera fish poisoning, undetermined, sequela
T61.11XA@Scombroid fish poisoning, accidental (unintentional), init
T61.11XD@Scombroid fish poisoning, accidental (unintentional), subs
T61.11XS@Scombroid fish poisoning, accidental, sequela
T61.12XA@Scombroid fish poisoning, intentional self-harm, init encntr
T61.12XD@Scombroid fish poisoning, intentional self-harm, subs encntr
T61.12XS@Scombroid fish poisoning, intentional self-harm, sequela
T61.13XA@Scombroid fish poisoning, assault, initial encounter
T61.13XD@Scombroid fish poisoning, assault, subsequent encounter
T61.13XS@Scombroid fish poisoning, assault, sequela
T61.14XA@Scombroid fish poisoning, undetermined, initial encounter
T61.14XD@Scombroid fish poisoning, undetermined, subsequent encounter
T61.14XS@Scombroid fish poisoning, undetermined, sequela
T61.771A@Oth fish poisoning, accidental (unintentional), init encntr
T61.771D@Oth fish poisoning, accidental (unintentional), subs encntr
T61.771S@Other fish poisoning, accidental (unintentional), sequela
T61.772A@Other fish poisoning, intentional self-harm, init encntr
T61.772D@Other fish poisoning, intentional self-harm, subs encntr
T61.772S@Other fish poisoning, intentional self-harm, sequela
T61.773A@Other fish poisoning, assault, initial encounter
T61.773D@Other fish poisoning, assault, subsequent encounter
T61.773S@Other fish poisoning, assault, sequela
T61.774A@Other fish poisoning, undetermined, initial encounter
T61.774D@Other fish poisoning, undetermined, subsequent encounter
T61.774S@Other fish poisoning, undetermined, sequela
T61.781A@Oth shellfish poisoning, accidental (unintentional), init
T61.781D@Oth shellfish poisoning, accidental (unintentional), subs
T61.781S@Oth shellfish poisoning, accidental (unintentional), sequela
T61.782A@Oth shellfish poisoning, intentional self-harm, init encntr
T61.782D@Oth shellfish poisoning, intentional self-harm, subs encntr
T61.782S@Other shellfish poisoning, intentional self-harm, sequela
T61.783A@Other shellfish poisoning, assault, initial encounter
T61.783D@Other shellfish poisoning, assault, subsequent encounter
T61.783S@Other shellfish poisoning, assault, sequela
T61.784A@Other shellfish poisoning, undetermined, initial encounter
T61.784D@Other shellfish poisoning, undetermined, subs encntr
